127.0.0.1 - - [03/Jan/2022:22:50:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:50:25 +0900] "GET /Ex_1223_Borad/list.do HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:50:25 +0900] "GET /Ex_1223_Borad/img/btn_prev.gif HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:50:25 +0900] "GET /Ex_1223_Borad/img/btn_next.gif HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:50:25 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:53:10 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:53:10 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:57:16 +0900] "GET /Ex_1223_Borad/list.do HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:57:18 +0900] "GET /Ex_1223_Borad/view.do?idx=43&page= HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:57:18 +0900] "GET /Ex_1223_Borad/img/btn_list.gif HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:57:18 +0900] "GET /Ex_1223_Borad/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:57:18 +0900] "GET /Ex_1223_Borad/img/btn_reply.gif HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [03/Jan/2022:22:57:18 +0900] "GET /Ex_1223_Borad/img/btn_delete.gif HTTP/1.1" 200 295
