127.0.0.1 - - [18/Jan/2022:00:57:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:03 +0900] "GET /Ex_1223_Borad/list.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:03 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:08 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:08 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:20 +0900] "POST /Ex_1223_Borad/insert.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:20 +0900] "POST /Ex_1223_Borad/insert.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:20 +0900] "GET /Ex_1223_Borad/list.do HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:20 +0900] "GET /Ex_1223_Borad/img/btn_prev.gif HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:20 +0900] "GET /Ex_1223_Borad/img/btn_next.gif HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:26 +0900] "GET /Ex_1223_Borad/view.do?idx=61&page= HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:26 +0900] "GET /Ex_1223_Borad/img/btn_list.gif HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:26 +0900] "GET /Ex_1223_Borad/img/btn_reply.gif HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:26 +0900] "GET /Ex_1223_Borad/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:26 +0900] "GET /Ex_1223_Borad/img/btn_delete.gif HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:28 +0900] "POST /Ex_1223_Borad/board_reply.jsp HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:33 +0900] "POST /Ex_1223_Borad/reply.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:33 +0900] "GET /Ex_1223_Borad/list.do?page= HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:49 +0900] "GET /Ex_1223_Borad/view.do?idx=61&page= HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [18/Jan/2022:00:58:51 +0900] "POST /Ex_1223_Borad/board_reply.jsp HTTP/1.1" 200 1465
